release_title	product_title	release_url	artist_name	format	track_count	tracklist_available	estimated_recordings	estimated_songs	estimated_artist_relationships	source_rank	already_processed	notes
USB - Colección 100 Parranderas del Siglo	USB - Colección 100 Parranderas del Siglo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/	Varios Intérpretes	USB	15	Y	15	15	15	MEDIUM	N	stated_content=; visible_track_items=15
USB - Colección 100 Exitos de Diciembre	USB - Colección 100 Exitos de Diciembre	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	Diciembre	USB	15	Y	15	15	15	MEDIUM	N	stated_content=; visible_track_items=15
USB - Colección 100 Villancicos del Siglo	USB - Colección 100 Villancicos del Siglo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-villancicos-del-siglo-usb-8-gb/	Varios Intérpretes	USB	15	Y	15	15	15	MEDIUM	N	stated_content=; visible_track_items=15
USB - Colección 100 Exitos de Pastor López	USB - Colección 100 Exitos de Pastor López	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/	Pastor López	USB	15	Y	15	15	15	MEDIUM	N	stated_content=; visible_track_items=15
USB - Colección 100 Exitos de Los Corraleros de Majagual	USB - Colección 100 Exitos de Los Corraleros de Majagual	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/	Los Corraleros de Majagual	USB	15	Y	15	15	15	HIGH	N	stated_content=; visible_track_items=15
Íntimo - Siente el Vallenato	Íntimo - Siente el Vallenato	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/intimo-siente-el-vallenato/			5	Y	5	5	5	LOW	N	stated_content=; visible_track_items=5
USB - Colección 100 Exitos de Rodolfo Aicardi	USB - Colección 100 Exitos de Rodolfo Aicardi	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-rodolfo-aicardi/	Rodolfo Aicardi	USB	5	Y	5	5	5	LOW	N	stated_content=; visible_track_items=5
Aniversario 25 Años	USB - Aniversario 25 Años | Los 50 de Joselito	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-aniversario-25-anos-los-50-de-joselito/	Los 50 de Joselito	USB - MP3 Alta Calidad	28	N	28	28	0	LOW	N	stated_content=28 Canciones; visible_track_items=5
USB - Historia Musical | The Latin Brothers	USB - Historia Musical | The Latin Brothers	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-historia-musical-de-latin-brothers/	The Latin Brothers	USB	30	N	30	30	0	LOW	N	stated_content=; visible_track_items=5
Album 14 Cañonazos Bailables Vol 62 + 25 Sobres de Láminas	Album 14 Cañonazos Bailables Vol 62 + 25 Sobres de Láminas	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/album-14-canonazos-bailables-vol-62-caja-completa/		Album		N	0	0	0	LOW	N	stated_content=; visible_track_items=6
