rank	unknown_mp3	artist
1	382	UNKNOWN_ARTIST
2	13	Willie Colón
3	12	Joe Arroyo
4	11	[unknown]
5	10	Rufo Garrido
6	10	Francisco Canaro
7	10	Celia Cruz
8	9	Tito Rojas
9	9	Sonora Ponceña
10	9	Ray Barretto
11	9	Ismael Rivera
12	9	Fernando Villalona
13	8	Trio La Rosa
14	8	Rubén Blades
15	8	Leonardo Favio
16	8	La Sonora Ponceña
17	8	Héctor Lavoe
18	8	Fruko y sus Tesos
19	7	Tito Nieves
20	7	The Latin Brothers
21	7	Los Corraleros de Majagual
22	7	Leo Dan
23	7	La Sonora Matancera
24	7	Juan Luis Guerra
25	7	Elvis Crespo
26	7	El Gran Combo
27	6	Yeison Jiménez
28	6	Lisandro Meza
29	6	Julio Iglesias
30	6	Henry Fiol
31	6	Eddie Palmieri
32	6	Ana Y Jaime
33	5	Wayne Gorbea
34	5	Rocío Dúrcal
35	5	Pedro Salcedo y su Orquesta
36	5	Pacho Galan y Su Orquesta
37	5	Oscar D’León
38	5	Nicola Di Bari
39	5	Miguel Gallardo
40	5	La Sonora Cordobesa
41	5	La Maxima 79
42	5	Karina
43	5	Jessi Uribe
44	5	Ismael Miranda
45	5	Guayacán Orquesta
46	5	Grupo Niche
47	5	Garzón y Collazos
48	5	El Gran Combo de Puerto Rico
49	5	Cheo Feliciano
50	5	Alfredo Linares
