rank	unknown_mp3	folder
1	53	Revisar/Musica Vieja Colombiana
2	25	Revisar/107 Mix C04
3	25	Revisar/107 Mix C01
4	25	Revisar/106 Mix C03
5	25	Revisar/102 Mix C02
6	25	Revisar/101 Mix C04
7	25	Revisar/101 Mix C03
8	24	Revisar/108 Salsa Guateque y Guaguanco
9	24	Revisar/107 Salsa Guateque y Guaguanco
10	24	Revisar/107 Mix C03
11	24	Revisar/106 Salsa Guateque y Guaguanco
12	24	Revisar/106 Mix C02
13	24	Revisar/105 Salsa Guateque y Guaguanco
14	24	Revisar/105 Mix C01
15	24	Revisar/104 Salsa Guateque y Guaguanco
16	24	Revisar/104 Mix C04
17	24	Revisar/103 Salsa Guateque y Guaguanco
18	24	Revisar/103 Mix C04
19	24	Revisar/103 Mix C03
20	24	Revisar/103 Mix C02
21	24	Revisar/103 Mix C01
22	24	Revisar/102 Salsa Guateque y Guaguanco
23	24	Revisar/102 Mix C04
24	24	Revisar/101 Mix C01
25	23	Revisar/109 Salsa Guateque y Guaguanco
26	23	Revisar/107 Mix C02
27	23	Revisar/106 Mix C01
28	23	Revisar/105 Mix C04
29	23	Revisar/105 Mix C03
30	23	Revisar/105 Mix C02
31	23	Revisar/102 Mix C03
32	23	Revisar/102 Mix C01
33	23	Revisar/101 Salsa Guateque y Guaguanco
34	23	Revisar/101 Mix C02
35	22	Revisar/106 Mix C04
36	22	Revisar/105 La mejor salsa PR
37	22	Revisar/104 Mix C03
38	22	Revisar/104 Mix C02
39	22	Revisar/104 Mix C01
40	22	Revisar/104 La mejor salsa PR
41	22	Revisar/103 La mejor salsa PR
42	22	Revisar/102 La mejor salsa PR
43	22	Revisar/101 La mejor salsa PR
44	19	Revisar/110 Salsa Guateque y Guaguanco
45	19	Revisar/109 Mix Varios 2308 Vol 1
46	19	Revisar/106 Viejoteca
47	19	Revisar/106 Mix Varios 2308 Vol 1
48	19	Revisar/106 Mix Baladas
49	19	Revisar/102 Mix Baladas
50	18	Revisar/109 canciones espanol 5070
