column	non_empty	unique_values	top_values
unit_candidate_id	300	300	UNIT0113-01-001=1 | UNIT0113-01-002=1 | UNIT0113-01-003=1 | UNIT0113-01-004=1 | UNIT0113-01-005=1 | UNIT0113-01-006=1 | UNIT0113-01-007=1 | UNIT0113-01-008=1 | UNIT0113-01-009=1 | UNIT0113-01-010=1
source_id	300	1	SRC0002=300
source_row	300	20	17=105 | 21=13 | 19=11 | 20=11 | 1=10 | 2=10 | 3=10 | 4=10 | 5=10 | 6=10
release_title	300	20	USB - Colección 100 Exitos de Rodolfo Aicardi=105 | Historia Musical=13 | USB - Historia Musical | The Latin Brothers=11 | Cumbia y Nada Más=11 | USB - Colección Música Colombiana=10 | USB - Colección 100 Exitos | Helenita Vargas=10 | USB - Colección 100 Exitos de La Sonora Matancera=10 | USB - Colección 100 Exitos de Música Cubana=10 | USB - Que Viva Diciembre=10 | USB - Colección 100 Exitos del Siglo | Joe Arroyo=10
product_title	300	20	USB - Colección 100 Exitos de Rodolfo Aicardi=105 | LP - Historia Musical de Los 50 de Joselito=13 | USB - Historia Musical | The Latin Brothers=11 | LP - Cumbia y Nada Más | Afrosound=11 | USB - Colección Música Colombiana=10 | USB - Colección 100 Exitos | Helenita Vargas=10 | USB - Colección 100 Exitos de La Sonora Matancera=10 | USB - Colección 100 Exitos de Música Cubana=10 | USB - Que Viva Diciembre=10 | USB - Colección 100 Exitos del Siglo | Joe Arroyo=10
release_url	300	20	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-rodolfo-aicardi/=105 | https://tiendadiscosfuentes.com/productos/vinilos/lp-historia-musical-los-50-de-joselito/=13 | https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-historia-musical-de-latin-brothers/=11 | https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/=11 | https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/=10 | https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/=10 | https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/=10 | https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/=10 | https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/=10 | https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-del-siglo-joe-arroyo/=10
artist_name	300	12	Rodolfo Aicardi=105 | Varios Artistas=90 | Los 50 de Joselito=13 | The Latin Brothers=11 | Afrosound=11 | Varios Intérpretes=10 | Helenita Vargas=10 | La Sonora Matancera=10 | Joe Arroyo=10 | Toño Fuentes=10
candidate_title	300	297	Huri=2 | El Bailador=2 | El Aguacero=2 | Yo Tambien TuveVeinteAños=1 | Las Acacias=1 | Ayer Me Echaron Del Pueblo=1 | Un Recuerdo De Amor=1 | Grato Silencio=1 | Pesares=1 | Antioqueñita=1
review_class	300	4	performer_conflict=159 | duplicate=122 | title_conflict=10 | release_conflict=9
review_detail	300	18	performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority=107 | partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority=50 | existing_authority_title_match;partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority=49 | existing_authority_title_match=20 | existing_authority_title_match;partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority=19 | existing_authority_title_match;performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority;short_description_only_source=16 | existing_authority_title_match;partial_or_estimated_source_tracklist=9 | partial_or_estimated_source_tracklist;release_not_resolved_to_authority;short_description_only_source=9 | title_contains_featured_artist_or_parse_separator;performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority=8 | performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority;short_description_only_source=2
existing_recording_id	122	118	REC005591;REC005609=2 | REC005577;REC005635=2 | REC005566=2 | REC001336;REC001337;REC001338;REC005533;REC005540=2 | REC005601=1 | REC005602=1 | REC005603=1 | REC005604=1 | REC005605=1 | REC005606=1
existing_song_id	122	118	SONG004245=2 | SONG004232=2 | SONG004221=2 | SONG001020=2 | SONG004252=1 | SONG004253=1 | SONG004254=1 | SONG004255=1 | SONG004256=1 | SONG004257=1
matched_performer_id	0	0	
matched_group_id	45	4	GRP0256=13 | GRP0252=11 | GRP0257=11 | GRP0088=10
resolved_release_id	134	13	REL000004=13 | REL000003=11 | REL000005=10 | REL000012=10 | REL000006=10 | REL000008=10 | REL000014=10 | REL000015=10 | REL000016=10 | REL000017=10
source_tracklist_status	300	3	complete_or_exceeds_track_count=159 | partial_10_of_15=130 | partial_11_of_30=11
source_extract_method	300	2	description_tab=269 | short_description=31
