estimated_titles	release_title
105	USB - Colección 100 Exitos de Rodolfo Aicardi
13	Historia Musical
11	USB - Historia Musical | The Latin Brothers
11	Cumbia y Nada Más
10	USB - Colección Música Colombiana
10	USB - Colección 100 Exitos | Helenita Vargas
10	USB - Colección 100 Exitos de La Sonora Matancera
10	USB - Colección 100 Exitos de Música Cubana
10	USB - Que Viva Diciembre
10	USB - Colección 100 Exitos del Siglo | Joe Arroyo
10	USB - Colección Homenaje a Toño Fuentes
10	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical
10	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo
10	USB - Colección 100 Canciones Infantiles
10	USB - Colección 100 Parranderas del Siglo
10	USB - Colección 100 Exitos de Diciembre
10	USB - Colección 100 Villancicos del Siglo
10	USB - Colección 100 Exitos de Pastor López
10	USB - Colección 100 Exitos de Los Corraleros de Majagual
10	Íntimo - Siente el Vallenato
