rank	candidate_count	source
1	105	USB - Colección 100 Exitos de Rodolfo Aicardi
2	13	Historia Musical
3	11	Cumbia y Nada Más
4	11	USB - Historia Musical | The Latin Brothers
5	10	USB - Colección 100 Canciones Infantiles
6	10	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo
7	10	USB - Colección 100 Exitos de Diciembre
8	10	USB - Colección 100 Exitos de La Sonora Matancera
9	10	USB - Colección 100 Exitos de Los Corraleros de Majagual
10	10	USB - Colección 100 Exitos de Música Cubana
11	10	USB - Colección 100 Exitos de Pastor López
12	10	USB - Colección 100 Exitos del Siglo | Joe Arroyo
13	10	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical
14	10	USB - Colección 100 Exitos | Helenita Vargas
15	10	USB - Colección 100 Parranderas del Siglo
16	10	USB - Colección 100 Villancicos del Siglo
17	10	USB - Colección Homenaje a Toño Fuentes
18	10	USB - Colección Música Colombiana
19	10	USB - Que Viva Diciembre
20	10	Íntimo - Siente el Vallenato
