unit_candidate_id	source_id	source_row	release_title	product_title	release_url	artist_name	artist_entity_type	matched_performer_id	matched_group_id	track_number_in_source_extract	candidate_title	source_tracklist_status	source_extract_method	existing_recording_id	existing_song_id	candidate_status	review_reason	current_song_id	current_recording_id	recalculated_status
UNIT0113-01-001	SRC0002	1	USB - Colección Música Colombiana	USB - Colección Música Colombiana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/	Varios Intérpretes	performer			1	Yo Tambien TuveVeinteAños	complete_or_exceeds_track_count	short_description			REVIEW_REQUIRED	artist_not_matched_to_authority			review_required_no_current_match
UNIT0113-01-002	SRC0002	1	USB - Colección Música Colombiana	USB - Colección Música Colombiana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/	Varios Intérpretes	performer			2	Las Acacias	complete_or_exceeds_track_count	short_description	REC005601	SONG004252	REVIEW_REQUIRED	recording_title_exists;song_title_exists;artist_not_matched_to_authority	SONG004252	REC005601	already_matched_current_authority
UNIT0113-01-003	SRC0002	1	USB - Colección Música Colombiana	USB - Colección Música Colombiana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/	Varios Intérpretes	performer			3	Ayer Me Echaron Del Pueblo	complete_or_exceeds_track_count	short_description	REC005602	SONG004253	REVIEW_REQUIRED	recording_title_exists;song_title_exists;artist_not_matched_to_authority	SONG004253	REC005602	already_matched_current_authority
UNIT0113-01-004	SRC0002	1	USB - Colección Música Colombiana	USB - Colección Música Colombiana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/	Varios Intérpretes	performer			4	Un Recuerdo De Amor	complete_or_exceeds_track_count	short_description	REC005603	SONG004254	REVIEW_REQUIRED	recording_title_exists;song_title_exists;artist_not_matched_to_authority	SONG004254	REC005603	already_matched_current_authority
UNIT0113-01-005	SRC0002	1	USB - Colección Música Colombiana	USB - Colección Música Colombiana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/	Varios Intérpretes	performer			5	Grato Silencio	complete_or_exceeds_track_count	short_description	REC005604	SONG004255	REVIEW_REQUIRED	recording_title_exists;song_title_exists;artist_not_matched_to_authority	SONG004255	REC005604	already_matched_current_authority
UNIT0113-01-006	SRC0002	1	USB - Colección Música Colombiana	USB - Colección Música Colombiana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/	Varios Intérpretes	performer			6	Pesares	complete_or_exceeds_track_count	short_description	REC005605	SONG004256	REVIEW_REQUIRED	recording_title_exists;song_title_exists;artist_not_matched_to_authority	SONG004256	REC005605	already_matched_current_authority
UNIT0113-01-007	SRC0002	1	USB - Colección Música Colombiana	USB - Colección Música Colombiana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/	Varios Intérpretes	performer			7	Antioqueñita	complete_or_exceeds_track_count	short_description	REC005606	SONG004257	REVIEW_REQUIRED	recording_title_exists;song_title_exists;artist_not_matched_to_authority	SONG004257	REC005606	already_matched_current_authority
UNIT0113-01-008	SRC0002	1	USB - Colección Música Colombiana	USB - Colección Música Colombiana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/	Varios Intérpretes	performer			8	Tierra Labrantia	complete_or_exceeds_track_count	short_description	REC005607	SONG004258	REVIEW_REQUIRED	recording_title_exists;song_title_exists;artist_not_matched_to_authority	SONG004258	REC005607	already_matched_current_authority
UNIT0113-01-009	SRC0002	1	USB - Colección Música Colombiana	USB - Colección Música Colombiana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/	Varios Intérpretes	performer			9	Las Mirlas	complete_or_exceeds_track_count	short_description	REC005608	SONG004259	REVIEW_REQUIRED	recording_title_exists;song_title_exists;artist_not_matched_to_authority	SONG004259	REC005608	already_matched_current_authority
UNIT0113-01-010	SRC0002	1	USB - Colección Música Colombiana	USB - Colección Música Colombiana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/	Varios Intérpretes	performer			10	Huri	complete_or_exceeds_track_count	short_description	REC005591;REC005609	SONG004245	REVIEW_REQUIRED	recording_title_exists;song_title_exists;artist_not_matched_to_authority	SONG004245	REC005591;REC005609	already_matched_current_authority
UNIT0113-02-001	SRC0002	2	USB - Colección 100 Exitos | Helenita Vargas	USB - Colección 100 Exitos | Helenita Vargas	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	Helenita Vargas	performer			1	María de los Guardias	partial_10_of_15	description_tab	REC005610	SONG004260	REVIEW_REQUIRED	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	SONG004260	REC005610	already_matched_current_authority
