source	total	already_matched_current_authority	promotion_ready_recording_only	needs_song_link_review	review_required_no_current_match
USB - Colección 100 Exitos de Rodolfo Aicardi	105	0	0	0	105
LP - Historia Musical de Los 50 de Joselito	13	13	0	0	0
LP - Cumbia y Nada Más | Afrosound	11	9	0	0	2
USB - Historia Musical | The Latin Brothers	11	10	0	0	1
USB - Colección 100 Canciones Infantiles	10	10	0	0	0
USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	10	0	0	0	10
USB - Colección 100 Exitos de Diciembre	10	0	0	0	10
USB - Colección 100 Exitos de La Sonora Matancera	10	10	0	0	0
USB - Colección 100 Exitos de Los Corraleros de Majagual	10	10	0	0	0
USB - Colección 100 Exitos de Música Cubana	10	0	0	0	10
USB - Colección 100 Exitos de Pastor López	10	10	0	0	0
USB - Colección 100 Exitos del Siglo | Joe Arroyo	10	10	0	0	0
USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	10	0	0	0	10
USB - Colección 100 Exitos | Helenita Vargas	10	10	0	0	0
USB - Colección 100 Parranderas del Siglo	10	0	0	0	10
USB - Colección 100 Villancicos del Siglo	10	10	0	0	0
USB - Colección Homenaje a Toño Fuentes	10	10	0	0	0
USB - Colección Música Colombiana	10	9	0	0	1
USB - Que Viva Diciembre	10	9	0	0	1
Íntimo - Siente el Vallenato	10	0	0	0	10
