recording_id	canonical_recording_title	artist_name	matched_entity_type	matched_entity_id	before_primary_group_id	before_primary_performer_id	after_primary_group_id	after_primary_performer_id
REC005550	El Sofá	La Sonora Matancera	group	GRP0286	GRP0001		GRP0286	
REC005552	Burundanga	La Sonora Matancera	group	GRP0286	GRP0001		GRP0286	
REC005553	Todo Me Gusta de Ti	La Sonora Matancera	group	GRP0286	GRP0001		GRP0286	
REC005554	El Mambo es Universal	La Sonora Matancera	group	GRP0286	GRP0001		GRP0286	
REC005555	Cuando Tú Seas Mía	La Sonora Matancera	group	GRP0286	GRP0001		GRP0286	
REC005556	Oye Mima	La Sonora Matancera	group	GRP0286	GRP0001		GRP0286	
REC005557	Desesperación	La Sonora Matancera	group	GRP0286	GRP0001		GRP0286	
REC005558	Quedé Zaina	La Sonora Matancera	group	GRP0286	GRP0001		GRP0286	
REC005560	A Mi Dios Todo le Debo	Joe Arroyo	performer	PER000344				PER000344
REC005561	Confundido	Joe Arroyo	performer	PER000344				PER000344
REC005562	El Arbol	Joe Arroyo	performer	PER000344				PER000344
REC005563	El Caminante	Joe Arroyo	performer	PER000344				PER000344
REC005564	El Centurión de la Noche	Joe Arroyo	performer	PER000344				PER000344
REC005565	El Cocinero Mayor	Joe Arroyo	performer	PER000344				PER000344
REC005566	El Son del Caballo	Joe Arroyo	performer	PER000344				PER000344
REC005567	La Maestranza # 1	Joe Arroyo	performer	PER000344				PER000344
REC005568	Por Ti No Moriré	Joe Arroyo	performer	PER000344				PER000344
REC005569	Teresa Vuelve	Joe Arroyo	performer	PER000344				PER000344
REC005590	Cosas Como Tu	Toño Fuentes	performer	PER000346				PER000346
REC005593	Mis Flores Negras	Toño Fuentes	performer	PER000346				PER000346
REC005594	Ojos Negros	Toño Fuentes	performer	PER000346				PER000346
REC005595	Perdón	Toño Fuentes	performer	PER000346				PER000346
REC005597	Prisionero de Tus Brazos	Toño Fuentes	performer	PER000346				PER000346
REC005598	Pueblito Viejo	Toño Fuentes	performer	PER000346				PER000346
REC005610	María de los Guardias	Helenita Vargas	performer	PER000343				PER000343
REC005611	Señor	Helenita Vargas	performer	PER000343				PER000343
REC005612	No Te Pido Más	Helenita Vargas	performer	PER000343				PER000343
REC005613	Castiga Tirano	Helenita Vargas	performer	PER000343				PER000343
REC005616	Propiedad Privada	Helenita Vargas	performer	PER000343				PER000343
REC005617	La Hija del Penal	Helenita Vargas	performer	PER000343				PER000343
REC005618	Me la Robaste	Helenita Vargas	performer	PER000343				PER000343
REC005619	Nos Estorbó la Ropa	Helenita Vargas	performer	PER000343				PER000343
REC005690	Solo Un Cigarro	Pastor López	performer	PER000345				PER000345
REC005691	Tempestad	Pastor López	performer	PER000345				PER000345
REC005694	Golpe con Golpe	Pastor López	performer	PER000345				PER000345
REC005695	Fue Por Una Cerveza	Pastor López	performer	PER000345				PER000345
REC005696	Añoranza Febril	Pastor López	performer	PER000345				PER000345
REC005697	Brisas del Valle	Pastor López	performer	PER000345				PER000345
REC005698	Cállate Corazón	Pastor López	performer	PER000345				PER000345
