normalized_title	count	recording_ids	titles
cancion mixteca	10	REC000624|REC000625|REC000626|REC000627|REC000628|REC000629|REC000630|REC000631|REC000632|REC000633	Cancion Mixteca|Cancion Mixteca|Cancion Mixteca|Cancion Mixteca|Cancion Mixteca|Cancion Mixteca|Cancion Mixteca|Cancion Mixteca|Cancion Mixteca|Cancion Mixteca
por un amor	10	REC004165|REC004166|REC004167|REC004168|REC004169|REC004170|REC004171|REC004172|REC004173|REC004174	Por Un Amor|Por Un Amor|Por Un Amor|Por Un Amor|Por Un Amor|Por Un Amor|Por Un Amor|Por Un Amor|Por Un Amor|Por Un Amor
tres dias	9	REC005051|REC005052|REC005053|REC005054|REC005055|REC005056|REC005057|REC005058|REC005059	Tres Días|Tres Días|Tres Días|Tres Días|Tres Días|Tres Días|Tres Días|Tres Días|Tres Días
la cama de piedra	8	REC002472|REC002473|REC002474|REC002475|REC002476|REC002477|REC002478|REC002479	La Cama De Piedra|La Cama De Piedra|La Cama De Piedra|La Cama De Piedra|La Cama De Piedra|La Cama De Piedra|La Cama De Piedra|La Cama De Piedra
las mananitas	8	REC002939|REC002940|REC002941|REC002942|REC002943|REC002944|REC002945|REC002946	Las Mañanitas|Las Mañanitas|Las Mañanitas|Las Mañanitas|Las Mañanitas|Las Mañanitas|Las Mañanitas|Las Mañanitas
cien anos	7	REC000771|REC000772|REC000773|REC000774|REC000775|REC000776|REC000777	Cien Años|Cien Años|Cien Años|Cien Años|Cien Años|Cien Años|Cien Años
cuando el destino	7	REC001002|REC001003|REC001004|REC001005|REC001006|REC001007|REC001008	Cuando El Destino|Cuando El Destino|Cuando El Destino|Cuando El Destino|Cuando El Destino|Cuando El Destino|Cuando El Destino
la bamba	7	REC002435|REC002436|REC002437|REC002438|REC002439|REC002440|REC002441	La Bamba|La Bamba|La Bamba|La Bamba|La Bamba|La Bamba|La Bamba
luna de octubre	7	REC003142|REC003143|REC003144|REC003145|REC003146|REC003147|REC003148	Luna De Octubre|Luna De Octubre|Luna De Octubre|Luna De Octubre|Luna De Octubre|Luna De Octubre|Luna De Octubre
no volvere	7	REC003749|REC003750|REC003751|REC003752|REC003753|REC003754|REC003755	No Volvere|No Volvere|No Volvere|No Volvere|No Volvere|No Volvere|No Volvere
