normalized_title	count	song_ids	titles
el jardinero	3	SONG001251|SONG004574|SONG004771	El Jardinero|10. El Jardinero|El Jardinero
la bruja	3	SONG001837|SONG004564|SONG004761	La Bruja|20. La Bruja|La Bruja
la suegra	3	SONG002077|SONG004531|SONG004726	La Suegra|5. La Suegra|La Suegra
ni cuerpo ni corazon	3	SONG002686|SONG004520|SONG004715	Ni Cuerpo Ni Corazon|14. Ni Cuerpo Ni Corazon|Ni Cuerpo Ni Corazon
plegaria	3	SONG003054|SONG004489|SONG004683	Plegaria|2. Plegaria|Plegaria
tengo celos	3	SONG003723|SONG004571|SONG004768	Tengo Celos|7. Tengo Celos|Tengo Celos
tu solo tu	3	SONG003864|SONG003876|SONG003878	Tu, Solo Tu|Tú Sólo Tú|Tú, Sólo Tú
veinte anos	3	SONG003969|SONG004582|SONG004779	Veinte Años|18. Veinte Años|Veinte Años
yo no fui	3	SONG004125|SONG004529|SONG004724	Yo No Fui|3. Yo No Fui|Yo No Fui
la cerveza	3	SONG004281|SONG004488|SONG004682	La Cerveza|1. La Cerveza|La Cerveza
feliz nochebuena	3	SONG004309|SONG004511|SONG004706	Feliz Nochebuena|5. Feliz Nochebuena|Feliz Nochebuena
ocho dias	3	SONG004490|SONG004593|SONG004684	3. Ocho Dias|Ocho Dias|Ocho Dias
boquita de caramelo	3	SONG004491|SONG004595|SONG004686	5. Boquita De Caramelo|Boquita De Caramelo|Boquita De Caramelo
me voy pa macondo	3	SONG004492|SONG004596|SONG004687	6. Me Voy Pa Macondo|Me Voy Pa Macondo|Me Voy Pa Macondo
tabaco y ron	3	SONG004493|SONG004597|SONG004688	7. Tabaco Y Ron|Tabaco Y Ron|Tabaco Y Ron
asi empezaron papa y mama	3	SONG004494|SONG004598|SONG004689	8. Asi Empezaron Papa Y Mama|Asi Empezaron Papa Y Mama|Asi Empezaron Papa Y Mama
la conoci un domingo	3	SONG004495|SONG004599|SONG004690	9. La Conoci Un Domingo|La Conoci Un Domingo|La Conoci Un Domingo
el papelito blanco	3	SONG004496|SONG004600|SONG004691	10. El Papelito Blanco|El Papelito Blanco|El Papelito Blanco
olvidemos el pasado	3	SONG004497|SONG004601|SONG004692	11. Olvidemos El Pasado|Olvidemos El Pasado|Olvidemos El Pasado
carinito	3	SONG004498|SONG004602|SONG004693	12. Cariñito|Cariñito|Cariñito
fiesta en mi pueblo	3	SONG004499|SONG004603|SONG004694	13. Fiesta En Mi Pueblo|Fiesta En Mi Pueblo|Fiesta En Mi Pueblo
ojitos hechiceros	3	SONG004500|SONG004604|SONG004695	14. Ojitos Hechiceros|Ojitos Hechiceros|Ojitos Hechiceros
quiero que me des tu amor	3	SONG004501|SONG004605|SONG004696	15. Quiero Que Me Des Tu Amor|Quiero Que Me Des Tu Amor|Quiero Que Me Des Tu Amor
los cien anos de macondo	3	SONG004502|SONG004606|SONG004697	16. Los Cien Años De Macondo|Los Cien Años De Macondo|Los Cien Años De Macondo
vagabundo soy	3	SONG004503|SONG004607|SONG004698	17. Vagabundo Soy|Vagabundo Soy|Vagabundo Soy
la colegiala	3	SONG004504|SONG004608|SONG004699	18. La Colegiala|La Colegiala|La Colegiala
por favor olvidame	3	SONG004505|SONG004609|SONG004700	19. Por Favor Olvidame|Por Favor Olvidame|Por Favor Olvidame
botellita de ron	3	SONG004506|SONG004610|SONG004701	20. Botellita De Ron|Botellita De Ron|Botellita De Ron
adonay	3	SONG004507|SONG004611|SONG004702	1. Adonay|Adonay|Adonay
el preso	3	SONG004508|SONG004612|SONG004703	2. El Preso|El Preso|El Preso
daniela	3	SONG004509|SONG004613|SONG004704	3. Daniela|Daniela|Daniela
los domingos	3	SONG004510|SONG004614|SONG004705	4. Los Domingos|Los Domingos|Los Domingos
chan con chan	3	SONG004512|SONG004615|SONG004707	6. Chan Con Chan|Chan Con Chan|Chan Con Chan
la misma vaina	3	SONG004513|SONG004616|SONG004708	7. La Misma Vaina|La Misma Vaina|La Misma Vaina
cantares de navidad	3	SONG004514|SONG004617|SONG004709	8. Cantares De Navidad|Cantares De Navidad|Cantares De Navidad
muchachita celosa	3	SONG004515|SONG004618|SONG004710	9. Muchachita Celosa|Muchachita Celosa|Muchachita Celosa
entre que si y que no	3	SONG004516|SONG004619|SONG004711	10. Entre Que Si Y Que No|Entre Que Si Y Que No|Entre Que Si Y Que No
agua de cu	3	SONG004517|SONG004620|SONG004712	11. Agua De Cu|Agua De Cu|Agua De Cu
la cinta blanca	3	SONG004518|SONG004621|SONG004713	12. La Cinta Blanca|La Cinta Blanca|La Cinta Blanca
enamorado	3	SONG004519|SONG004622|SONG004714	13. Enamorado|Enamorado|Enamorado
adios adios corazon	3	SONG004521|SONG004623|SONG004716	15. Adios Adios Corazon|Adios Adios Corazon|Adios Adios Corazon
pelaita	3	SONG004522|SONG004624|SONG004717	16. Pelaita|Pelaita|Pelaita
sin corazon en el pecho	3	SONG004523|SONG004625|SONG004718	17. Sin Corazon En El Pecho|Sin Corazon En El Pecho|Sin Corazon En El Pecho
carola	3	SONG004524|SONG004626|SONG004719	18. Carola|Carola|Carola
la cunadita	3	SONG004525|SONG004627|SONG004720	19. La Cuñadita|La Cuñadita|La Cuñadita
cara carita	3	SONG004526|SONG004628|SONG004721	20. Cara Carita|Cara Carita|Cara Carita
el lunarcito	3	SONG004527|SONG004629|SONG004722	1. El Lunarcito|El Lunarcito|El Lunarcito
dile	3	SONG004528|SONG004630|SONG004723	2. Dile|Dile|Dile
perdido y borracho	3	SONG004530|SONG004631|SONG004725	4. Perdido Y Borracho|Perdido Y Borracho|Perdido Y Borracho
donde estas mariana	3	SONG004532|SONG004632|SONG004727	6. Donde Estas Mariana|Donde Estas Mariana|Donde Estas Mariana
ya para que	3	SONG004533|SONG004633|SONG004728	7. Ya Para Que|Ya Para Que|Ya Para Que
penas por un amor	3	SONG004534|SONG004634|SONG004729	8. Penas Por Un Amor|Penas Por Un Amor|Penas Por Un Amor
linda rosa	3	SONG004535|SONG004635|SONG004730	9. Linda Rosa|Linda Rosa|Linda Rosa
que regrese	3	SONG004536|SONG004636|SONG004732	11. Que Regrese|Que Regrese|Que Regrese
voy cantando	3	SONG004537|SONG004637|SONG004733	12. Voy Cantando|Voy Cantando|Voy Cantando
el casado arrepentido	3	SONG004538|SONG004638|SONG004734	13. El Casado Arrepentido|El Casado Arrepentido|El Casado Arrepentido
cumbia marinera	3	SONG004539|SONG004639|SONG004735	14. Cumbia Marinera|Cumbia Marinera|Cumbia Marinera
el maestro	3	SONG004540|SONG004640|SONG004736	15. El Maestro|El Maestro|El Maestro
el tizon	3	SONG004541|SONG004641|SONG004737	16. El Tizon|El Tizon|El Tizon
manuelito barrios	3	SONG004542|SONG004642|SONG004738	17. Manuelito Barrios|Manuelito Barrios|Manuelito Barrios
casi casi	3	SONG004543|SONG004643|SONG004739	18. Casi Casi|Casi Casi|Casi Casi
entonces cuando	3	SONG004544|SONG004644|SONG004740	19. Entonces Cuando|Entonces Cuando|Entonces Cuando
la bandolera	3	SONG004545|SONG004645|SONG004741	20. La Bandolera|La Bandolera|La Bandolera
ya se marcho	3	SONG004546|SONG004646|SONG004742	1. Ya Se Marcho|Ya Se Marcho|Ya Se Marcho
masculino y femenino	3	SONG004547|SONG004647|SONG004743	2. Masculino Y Femenino|Masculino Y Femenino|Masculino Y Femenino
el cangrejito enamorado	3	SONG004548|SONG004648|SONG004744	3. El Cangrejito Enamorado|El Cangrejito Enamorado|El Cangrejito Enamorado
se la llevo el tren	3	SONG004549|SONG004649|SONG004745	4. Se La Llevo El Tren|Se La Llevo El Tren|Se La Llevo El Tren
lorenza	3	SONG004550|SONG004650|SONG004746	5. Lorenza|Lorenza|Lorenza
linda muchachita	3	SONG004551|SONG004651|SONG004747	6. Linda Muchachita|Linda Muchachita|Linda Muchachita
carita de cielo	3	SONG004552|SONG004652|SONG004748	7. Carita De Cielo|Carita De Cielo|Carita De Cielo
amor por computadora	3	SONG004553|SONG004653|SONG004749	8. Amor Por Computadora|Amor Por Computadora|Amor Por Computadora
la burra y la chiva	3	SONG004554|SONG004654|SONG004750	9. La Burra Y La Chiva|La Burra Y La Chiva|La Burra Y La Chiva
mi cumbion	3	SONG004555|SONG004655|SONG004751	10. Mi Cumbion|Mi Cumbion|Mi Cumbion
los algodones	3	SONG004556|SONG004657|SONG004753	12. Los Algodones|Los Algodones|Los Algodones
el pescador triste	3	SONG004557|SONG004658|SONG004754	13. El Pescador Triste|El Pescador Triste|El Pescador Triste
el telefono	3	SONG004558|SONG004659|SONG004755	14. El Telefono|El Telefono|El Telefono
mi primavera	3	SONG004559|SONG004660|SONG004756	15. Mi Primavera|Mi Primavera|Mi Primavera
la revancha	3	SONG004560|SONG004661|SONG004757	16. La Revancha|La Revancha|La Revancha
cinturita de jabon	3	SONG004561|SONG004662|SONG004758	17. Cinturita De Jabon|Cinturita De Jabon|Cinturita De Jabon
fiesta de cumpleanos	3	SONG004562|SONG004663|SONG004759	18. Fiesta De Cumpleaños|Fiesta De Cumpleaños|Fiesta De Cumpleaños
el escorpion	3	SONG004563|SONG004664|SONG004760	19. El Escorpion|El Escorpion|El Escorpion
que no quede huella	3	SONG004565|SONG004665|SONG004762	1. Que No Quede Huella|Que No Quede Huella|Que No Quede Huella
no peliemos tanto	3	SONG004566|SONG004666|SONG004763	2. No Peliemos Tanto|No Peliemos Tanto|No Peliemos Tanto
el lamento de tu voz	3	SONG004567|SONG004667|SONG004764	3. El Lamento De Tu Voz|El Lamento De Tu Voz|El Lamento De Tu Voz
limoncito con ron	3	SONG004568|SONG004668|SONG004765	4. Limoncito Con Ron|Limoncito Con Ron|Limoncito Con Ron
borremos el pasado	3	SONG004569|SONG004669|SONG004766	5. Borremos El Pasado|Borremos El Pasado|Borremos El Pasado
el baile del brinquito	3	SONG004570|SONG004670|SONG004767	6. El Baile Del Brinquito|El Baile Del Brinquito|El Baile Del Brinquito
brisa sala	3	SONG004572|SONG004671|SONG004769	8. Brisa Sala|Brisa Sala|Brisa Sala
el ciclon	3	SONG004573|SONG004672|SONG004770	9. El Ciclon|El Ciclon|El Ciclon
la hamaca raya	3	SONG004575|SONG004673|SONG004772	11. La Hamaca Raya|La Hamaca Raya|La Hamaca Raya
se va la vida	3	SONG004576|SONG004674|SONG004773	12. Se Va La Vida|Se Va La Vida|Se Va La Vida
muchachita del oriente	3	SONG004577|SONG004675|SONG004774	13. Muchachita Del Oriente|Muchachita Del Oriente|Muchachita Del Oriente
ya voy hacia ti	3	SONG004578|SONG004676|SONG004775	14. Ya Voy Hacia Ti|Ya Voy Hacia Ti|Ya Voy Hacia Ti
lindo clavelito	3	SONG004579|SONG004677|SONG004776	15. Lindo Clavelito|Lindo Clavelito|Lindo Clavelito
negra candela	3	SONG004580|SONG004678|SONG004777	16. Negra Candela|Negra Candela|Negra Candela
no me alcanza	3	SONG004581|SONG004679|SONG004778	17. No Me Alcanza|No Me Alcanza|No Me Alcanza
la ladrona	3	SONG004583|SONG004680|SONG004780	19. La Ladrona|La Ladrona|La Ladrona
provinciana	3	SONG004584|SONG004681|SONG004781	20. Provinciana|Provinciana|Provinciana
adios adios adios	2	SONG000056|SONG000072	Adios Adios Adios|Adios, Adios, Adios
alla en el rancho grande	2	SONG000128|SONG000131	Alla En El Rancho Grande|Allá En El Rancho Grande
ay jalisco no te rajes	2	SONG000335|SONG000347	Ay Jalisco No Te Rajes|Ay! Jalisco No Te Rajes
campanero campanero	2	SONG000471|SONG000472	Campanero Campanero|Campanero, Campanero
cielo azul cielo nublado	2	SONG000578|SONG000579	Cielo Azul Cielo Nublado|Cielo Azul, Cielo Nublado
con quien palabras	2	SONG000640|SONG000641	Con Quien Palabras|Con Quien Palabras?
corazon corazoncito	2	SONG000684|SONG000696	Corazon Corazoncito|Corazon, Corazoncito
corazon corazon	2	SONG000695|SONG000700	Corazon, Corazon|Corazón Corazón
crei	2	SONG000758|SONG000761	Crei|Creí
el alazan y el rocio	2	SONG001028|SONG001029	El Alazán Y El Rocio|El Alazán Y El Rocío
el gavilan pollero	2	SONG001208|SONG001210	El Gavilan Pollero|El Gavilán Pollero
el mundo es mio	2	SONG001300|SONG001301	El Mundo Es Mio|El Mundo Es Mio?
espana mi bella espana	2	SONG001542|SONG001543	España, Mi Bella Espana|España, Mi Bella España
flor sin retono	2	SONG001610|SONG001611	Flor Sin Retono|Flor Sin Retoño
guitarras lloren guitarras	2	SONG001667|SONG001668	Guitarras Lloren Guitarras|Guitarras, Lloren Guitarras
los desenganos	2	SONG002274|SONG002275	Los Desengaños|Los Deseñganos
maria luisa	2	SONG002393|SONG004434	María Luísa|María Luisa
mananitas tapatias	2	SONG002405|SONG002406	Mañanitas Tapatias|Mañanitas Tapatías
mucho corazon	2	SONG002622|SONG002623	Mucho Corazon|Mucho Corazón
que bonito que bonito	2	SONG003205|SONG003206	Que Bonito Que Bonito|Que Bonito, Que Bonito
que si que no	2	SONG003269|SONG003271	Que Si Que No|Que Si, Que No
rosa rosita	2	SONG003399|SONG003400	Rosa Rosita|Rosa, Rosita
sabor a mi	2	SONG003425|SONG003426	Sabor A Mi|Sabor A Mí
senor porque	2	SONG003496|SONG003497	Señor Porque|Señor, Porque
ya estaras jabon de olor	2	SONG004066|SONG004067	Ya Estaras Jabon De Olor|Ya Estarás Jabon De Olor
yo quisiera senor locutor	2	SONG004134|SONG004135	Yo Quisiera Señor Locutor|Yo Quisiera, Señor Locutor
triste diciembre	2	SONG004594|SONG004685	Triste Diciembre|Triste Diciembre
mis zapatos viejos	2	SONG004656|SONG004752	Mis Zapatos Viejos|Mis Zapatos Viejos
